SO Number,Date,Installation Complete,Machine Details,SerialNumber,CustomerName,Location,Region,ponumber,Ressubassembly,Resassembly,Res QA,Res Dispatch,Invoice Date,Invoice Number,Dispatch File,REMARKS,IncoTerms,SO_Date,PO_Date
6803003233,08-Mar-20,In Warranty,THREE SIXTY,360H0320006,KSP,SAUDI,ROW,HO/PUR/01/2019,YOGENFRA PATEL,CHETAN JADHAV,BHARAT,bunty,29-May-20,681000152,,NA,NA,06-Jan-20,11-Nov-19
6803003233,08-Mar-20,In Warranty,THREE SIXTY,360H0320005,KSP,SAUDI,ROW,HO/PUR/01/2019,YOGENFRA PATEL,CHETAN JADHAV,Bharat,bunty,29-May-20,681000152,,NA,NA,06-Jan-20,11-Nov-19
6803003236,08-Feb-20,In Warranty,TE_V5,CS170220014,MEDREICH,BANGALORE,South,4550009752,YOGENDRA,BISWAJIT,RUPESH,BUNTY,24-Feb-20,DO1990000293,,NA,NA,15-Jan-20,03-Jan-20
6803003242,21-Apr-20,In Warranty,"BIS-OEM, BS-30",BISH0320075,Buchon,South Korea,ROW,Buchon-BIS,YOGENDAR PATEL,SANKLAP MORE,Rupesh,BUNTY KUNDAPR,24-Apr-20,681000147,,NA,NA,1/28/2020,1/28/2020
6803003243,27-Feb-20,In Warranty,BIS_B C++,BISH0220063,QUALIGENS,KHOPOLI,West,QP/PRD/111/19#20,Yogendra,Sankalp,Rupesh,BUNTY,28-Feb-20,DO1990000299,,NA,NA,1/29/2020,1/14/2020
6803003245,25-Feb-20,In Warranty,PALLET,VFTH0220038,INVATECH,USA,USA,6931000058,CHETAN PATIL,BISWAJIT,Nikhil Patel,bunty,28-Feb-20,681000135,,NA,NA,29-Jan-20,29-Jan-20
6803003245,25-Feb-20,In Warranty,SBC,VFTH0220037,INVATECH,USA,USA,6931000058,CHETAN PATIL,BISWAJIT,Nikhil Patel,BUNTY,28-Feb-20,681000135,,NA,NA,29-Jan-20,29-Jan-20
6803003245,25-Feb-20,In Warranty,LIS,VFPH0220015,INVATECH,USA,USA,6931000058,CHETAN PATIL,BISWAJIT,Nikhil Patel,BUNTY,28-Feb-20,681000135,,NA,NA,29-Jan-20,29-Jan-20
6803003250,20-Apr-20,In Warranty,"BIS-OEM, BS-20",BISH0320074,Beacon,BANGLADESH,ROW,LC No. 229220010017,YOGENDAR PATEL,SANKLAP MORE,Bharat Rathod,BUNTY KUNDAPR,28-Apr-20,681000150,,NA,NA,3/30/2020,1/30/2020
6803003251,18-Feb-20,In Warranty,KIOSK (PALLET),VFTH0220036,Shining Horizon,Saudi Arabia,ROW,SRPO-1029-US,Yogendra,DEEP,Nikhil Patel,BUNTY,26-Feb-20,681000127,,NA,NA,30-Jan-20,09-Jan-20
6803003251,18-Feb-20,In Warranty,KIOSK (PALLET),VFTH0220035,Shining Horizon,Saudi Arabia,ROW,SRPO-1029-US,Yogendra,DEEP,Nikhil Patel,BUNTY,26-Feb-20,681000127,,NA,NA,30-Jan-20,09-Jan-20
6803003251,18-Feb-20,In Warranty,AFC,PCCH0220027,Shining Horizon,Saudi Arabia,ROW,SRPO-1029-US,Yogendra,DEEP,Nikhil Patel,BUNTY,26-Feb-20,681000127,,NA,NA,30-Jan-20,09-Jan-20
6803003251,18-Feb-20,In Warranty,AFC,PCCH0220026,Shining Horizon,Saudi Arabia,ROW,SRPO-1029-US,Yogendra,DEEP,Nikhil Patel,BUNTY,26-Feb-20,681000127,,NA,NA,30-Jan-20,09-Jan-20
6803003262,14-Aug-20,In Warranty,BIS-BL,BISH0820027,Microlabs,Hosur,South,3020041719,YOGENDRA PATEL,SANKALP MORE,Rupesh,BUNTY K,17-Aug-20,??????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????,,NA,NA,31-Jan-20,07-Oct-19
6803003263,21-Apr-20,In Warranty,"BIS-OEM, BS-20",BISH0320073,Stellapharma,Vietnam,ROW,Stellaharm/Vietnam/001/2019-20,YOGENDAR PATEL,SANKLAP MORE,Rupesh,BUNTY KUNDAPR,27-Apr-20,681000149,,NA,NA,1/31/2020,12/28/2019
6803003263,21-Apr-20,In Warranty,"BIS-OEM, BS-20",BISH0320072,Stellapharma,Vietnam,ROW,Stellaharm/Vietnam/001/2019-20,YOGENDAR PATEL,SANKLAP MORE,RUPESH,BUNTY KUNDAPR,27-Apr-20,681000149,,NA,NA,1/31/2020,12/28/2019
6803003271,12-Mar-20,In Warranty,BIS OEM-BS-20,BISH0320066,Beximco,Bangladesh,ROW,1040022486,YOGENDR P.,Sankalp M.,nikhil,BUNTY KUNDAPR,17-Mar-20,681000139,,NA,NA,02-11-2020,02-05-2020
6803003271,13-Mar-20,In Warranty,"BIS-OEM, BS-20",BISH0320067,BEXIMCO,BANGLADESH,ROW,1040022486,YOGENDAR PATEL,SANKLAP MORE,nikhil,BUNTY KUNDAPR,06-Mar-20,DO1990000308,,NA,NA,02-11-2020,02-05-2020
6803003276,14-Feb-20,In Warranty,BIS_B,BISH0220060,Hetero,Hyderabad,South,5110048569,Yogendra,Sankalp,Rupesh,bunty,18-Feb-20,DO1990000289,,NA,NA,2/13/2020,02-06-2020
6803003284,28-Feb-20,In Warranty,2BPO,CISH0220037,GLENMARK LABORA,"GOA, Region : WEST",West,5110049491,Yogendra,Sankalp,Rupesh,BUNTY,03-Mar-20,DO1990000303,,NA,NA,21-Feb-20,13-Feb-20
6803003286,28-Feb-20,In Warranty,BIS_B,BISH0220064,Neo Middle East,"Dubai, Region : ROW",ROW,5110048180,Yogendra,Sankalp,Rupesh,BUNTY,03-Mar-20,DO1990000302,,NA,NA,2/24/2020,04-Feb-20
6803003288,20-Mar-20,In Warranty,CPIR XL CS11,VFSH0320033,AJANTA PHARMA,AURANGABAD,West,45000011730,YOGENDRA,DEEP SRIVASTAVA,nikhil,BUNTY KUNDAPR,26-May-20,DO2090000031,,NA,NA,26-Feb-20,07-Feb-20
6803003297,07-Apr-20,In Warranty,BPO (C + +),CISH0320041,SQUARE PHARMA,BANGLADESH,ROW,LC No. 175220010135,YOGENDRA P,GILBERT P.,NIKHIL,BUNTY KUNDAPUR,10-Apr-20,681000143,,NA,NA,03-Mar-20,05-Feb-20
6803003297,07-Apr-20,In Warranty,BPO (C + +),CISH0320040,SQUARE PHARMA,BANGLADESH,ROW,LC No. 175220010135,YOGENDRA P,GILBERT P.,Nikhil,BUNTY KUNDAPUR,10-Apr-20,681000143,,NA,NA,03-Mar-20,05-Mar-20
6803003297,30-Apr-20,In Warranty,BPO (C + +),CISH0320039,SQUARE PHARMA,BANGLADESH,ROW,LC No. 175220010135,YOGENDRA P,GILBERT P.,NIKHIL,BUNTY KUNDAPUR,10-Apr-20,681000143,,NA,NA,03-Mar-20,05-Feb-20
6803003301,18-Mar-20,In Warranty,BIS-B,BISH0320071,Pharmaforce Lab,Ponta Sahib,North,510027486,YOGENDAR PATEL,SANKLAP MORE,nikhil,BUNTY KUNDAPR,28-Apr-20,681000150,,NA,NA,04.03.2020,24.02.2020
6803003301,19-Jun-20,In Warranty,BIS-B,BISH0520010,Pharmaforce Lab,Baddi,North,510027486,YOGENDRA PATEL,SANKALP MORE,NIKHIL,BUNTY KUNDAPUR,22-Jun-20,DO2090000052,,NA,NA,04-Mar-20,24-Feb-20
6803003312,22-Jun-20,In Warranty,1 BPO,CISH0620009,Novartis Ltd.,Bangladesh,ROW,7751929353,JOLDEN,DEEP SRIVASTAVA,Rupesh,BUNTY KUNDAPR,26-Jun-20,681000155,,NA,NA,26-Mar-20,13-Mar-20
6803003312,22-Jun-20,In Warranty,1 BPO,CISH0620008,Novartis Ltd.,Bangladesh,ROW,7751929353,JOLDEN,DEEP SRIVASTAVA,Rupesh,BUNTY KUNDAPR,26-Jun-20,681000155,,NA,NA,26-Mar-20,13-Mar-20
6803003312,22-Jun-20,In Warranty,1 BPO,CISH0620007,Novartis Ltd.,Bangladesh,ROW,7751929353,JOLDEN,DEEP SRIVASTAVA,Rupesh,BUNTY KUNDAPR,26-Jun-20,681000155,,NA,NA,26-Mar-20,13-Mar-20
6803003312,22-Jun-20,In Warranty,1 BPO,CISH0620006,Novartis Ltd.,Bangladesh,ROW,7751929353,JOLDEN,DEEP SRIVASTAVA,Rupesh,BUNTY KUNDAPR,26-Jun-20,681000155,,NA,NA,26-Mar-20,13-Mar-20
6803003314,27-Jun-20,In Warranty,PALLET,VFTH0620002,AMNEAL,"USA,NJ",USA,82468,YOGENDERA,GILBERT,NP,BUNTY KUNDAPUR,30-Jun-20,681000158,,NA,NA,30-Mar-20,25-Mar-20
6803003314,27-Jun-20,In Warranty,CPIR_XL,VFSH0620005,AMNEAL,"USA,NJ",USA,82468,YOGENDER,GILBERT,Rupesh,BUNTY KUNDAPUR,30-Jun-20,681000158,,NA,NA,30-Mar-20,25-Mar-20
6803003314,27-Jun-20,In Warranty,AFC,PCCH0620004,AMNEAL,"USA,NJ",USA,82468,YOGENDER,GILBERT,Rupesh,BUNTY KUNDAPUR,30-Jun-20,681000158,,NA,NA,30-Mar-20,25-Mar-20
6803003317,14-May-20,In Warranty,BIS-B,BISH0520006,Hetero,Guwahati,East,5400021406,YOGENDRA PATEL,SANKALP MORE,Rupesh,Bunty Kundapur,22-May-20,DO2090000027,,NA,NA,10-Apr-20,19-Mar-20
6803003319,05-May-20,In Warranty,BIS-B_C++,BISH0420002,Unichem,Goa,West,5110056943,YOGENDAR PATEL,SANKLAP MORE,Rupesh,BUNTY KUNDAPR,08-May-20,DO2090000016,,NA,NA,21-Apr-20,10-Apr-20
6803003320,05-May-20,In Warranty,2BPO,CISH0420001,Unichem,Goa,West,5110056944,YOGENDAR PATEL,SANKALP MORE,Rupesh,BUNTY KUNDAPR,08-May-20,DO2090000015,,NA,NA,21-Apr-20,10-Apr-20
6803003322,27-Apr-20,In Warranty,BIS,BISH0420003,NANO HAYAT,IRAN,ROW,5110056939,YOGENDRA PATEL,GILBERT PEREIRA,Rupesh Dhawane,Bunty Kundapur,27-Apr-20,DO2090000012,,NA,NA,24-Apr-20,10-Apr-20
6803003323,27-Apr-20,In Warranty,BIS,BISH0420004,PHARMA LAB,USA,USA,5110056938,YOGENDRA PATEL,GILBERT PEREIRA,Rupesh Dhawane,BUNTY KUNDAPUR,27-Apr-20,DO2090000013,,NA,NA,24-Apr-20,10-Apr-20
6803003324,23-May-20,In Warranty,AFC,PCCH0520001,ALEMBIC,HALOL,AMD,PRO/C/PANF/KNJ/420007410,YOGENDER,BISWAJIT,BR,BUNTY KUNDAPR,30-May-20,6803003324,,NA,NA,28-Apr-20,22-Apr-20
6803003324,23-May-20,In Warranty,360 DEGREE,360H0520001,ALEMBIC,HALOL,AMD,PRO/C/PANF/KNJ/420007410,YOGENDER,BISWAJIT,BR,BUNTY KUNDAPR,30-May-20,6803003324,,NA,NA,28-Apr-20,22-Apr-20
6803003325,04-Jun-20,In Warranty,CPIR XL,VFSH0620001,Square Pharma,Bangladesh,ROW,Square,YOGENDRA,AKSHAY,np,BUNTY KUNDAPR,22-Jun-20,681000154,,NA,NA,06-May-20,17-Apr-20
6803003326,08-May-20,In Warranty,BIS-B,BISH0520005,Strides Pharma,Bengaluru,South,4190019772,YOGENDRA,SANKALP MORE,Rupesh,BUNTY KUNDAPUR,11-May-20,BISH0520005,,NA,NA,07-May-20,28-Apr-20
6803003329,14-May-20,In Warranty,BIS-B,BISH0520007,Innova Captab,Baddi,North,4410000011,YOGENDRA PATEL,SANKALP MORE,Rupesh,BUNTY KUNDAPR,15-May-20,DO2090000021,,NA,NA,12-May-20,09-May-20
6803003330,23-May-20,In Warranty,BIS-B (BS-11),BISH0520009,Oman Pharma,UAE,ROW,5110060217,YOGENDRA PATEL,SANKALP MORE,RUPESH,BUNTY KUNDAPR,27-May-20,DO2090000035,,NA,NA,23-May-20,22-May-20
6803003331,21-Aug-20,In Warranty,BIS-B,BISH0820026,Unison,Gujrat,AMD,U3/PO/CG/2021/0004,YOGENDRA PATEL,SANKALP MORE,Rupesh,BUNTY KUNDAPUR,24-Aug-20,CO2094000010,,NA,NA,13-Jun-20,05-Jun-20
6803003332,23-Jun-20,In Warranty,CPIR_XL,VFSH0620004,LUPIN,SIKKIM,East,3400131653,YOGENDER,BISWAJIT,BHARAT,BUNTY KUNDAPR,26-Jun-20,DO2090000057,,NA,NA,21-May-20,05-May-20
6803003341,29-Jun-20,In Warranty,KIOSK,VFTH0620003,ALEMBIC,HALOL,AMD,por/cpanf/4200037603,YOGENDER,GILBERT,Rupesh,BUNTY KUNDAPUR,30-Jun-20,DO2090000064,,NA,NA,26-May-20,07-May-20
6803003345,27-Jul-20,In Warranty,"BIS-OEM, BS-30",BISH0720020,Sanofi,BANGLADESH,ROW,DC DAK052743,YOGENDRA PATEL,SANKALP MORE,Bharat,BUNTY KUNDAPUR,28-Jul-20,681000166,,NA,NA,27-May-20,20-May-20
6803003350,13-Jun-20,In Warranty,BIS_B,BISH0620012,Cipla ltd,BADDI,North,5110058636,Ravi,DEEP SRIVASTAVA,Rupesh,BUNTY KUNDAPUR,24-Jun-20,DO2090000054,,NA,NA,03-Jun-20,29-Apr-20
6803003351,12-Jun-20,In Warranty,BIS_BL,BISH0620013,STERIL-GEN LIFE,Puducherry,South,SGF/2021/POS/CG1/00018,Ravi,DEEP SRIVASTAVA,Rupesh,BUNTY KUNDAPR,15-Jun-20,DO2090000045,,NA,NA,06-Jun-20,05-May-20
6803003354,16-Jun-20,In Warranty,2BPO,CISH0620005,UNICHEM LABORA,GOA,West,4550011811,Ravi,DEEP SRIVASTAVA,NP,BUNTY KUNDAPUR,30-Jun-20,DO2090000066,,NA,NA,09-Jun-20,11-May-20
6803003354,16-Jun-20,In Warranty,2BPO,CISH0620004,UNICHEM LABORA,GOA,West,4550011811,Ravi,DEEP SRIVASTAVA,NP,BUNTY KUNDAPUR,30-Jun-20,DO2090000066,,NA,NA,09-Jun-20,11-May-20
6803003356,13-Jun-20,In Warranty,BIS,BISH0620014,INTAS PHARMA,sikkim,East,838900437,Ravi,DEEP SRIVASTAVA,Rupesh,BUNTY KUNDAPR,17-Jun-20,DO2090000047,,NA,NA,06-Jun-20,21-Mar-20
6803003360,21-Jul-20,In Warranty,KIOSK PALLET,VFTH0720008,APPCO LLC,USA,USA,AP-169,YOGENDRA P,DEEP S,Rupesh,JAIRAJ BING,25-Jul-20,681000163,,NA,NA,24-Jun-20,01-Jun-20
6803003360,21-Jul-20,In Warranty,AFC,PCCH0720008,APPCO LLC,USA,USA,AP-169,YOGENDRA P,DEEP S,Rupesh,BUNTY KUNDAPUR,25-Jul-20,681000163,,NA,NA,24-Jun-20,01-Jun-20
6803003360,21-Jul-20,In Warranty,360 degree(NAVSTAR),360H0720003,APPCO LLC,USA,USA,AP-169,YOGENDRA P,DEEP S,Rupesh,BUNTY KUNDAPUR,25-Jul-20,681000163,,NA,NA,24-Jun-20,01-Jun-20
6803003360,22-Jul-20,In Warranty,LIS,VFPH0720003,APPCO LLC,USA,USA,AP-169,YOGENDRA P,DEEP S,Rupesh,BUNTY KUNDAPUR,25-Jul-20,681000163,,NA,NA,24-Jun-20,01-Jun-20
6803003361,18-Jul-20,In Warranty,SBC KIOSK,VFTH0720006,APPCO PHARMA,USA,USA,AP-170,YOGENDRA P,CHETAN JADHAV,Rupesh,BUNTY KUNDAPUR,25-Jul-20,681000164,,NA,NA,24-Jun-20,01-Jun-20
6803003361,18-Jul-20,In Warranty,KIOSK PALLET,VFTH0720007,APPCO LLC,USA,USA,AP-170,YOGENDRA P,CHETAN JADHAV,RUPESH,BUNTY KUNDAPUR,25-Jul-20,681000164,,NA,NA,24-Jun-20,01-Jun-20
6803003361,18-Jul-20,In Warranty,CPIR XL,VFSH0720007,APPCO LLC,USA,USA,AP-170,YOGENDRA P,CHETAN JADHAV,RUPESH,BUNTY KUNDAPUR,,,,,,24-Jun-20,01-Jun-20
6803003362,20-Jul-20,In Warranty,BIS_B,BISH0720018,Alkem,sikkim,East,4530034225,YOGENDRA,SANKALP,Rupesh,BUNTY KUNDAPUR,30-Jul-20,681000168,,NA,NA,16-Jun-20,04-Jun-20
6803003362,24-Jul-20,In Warranty,BIS-B,BISH0720019,ALKEM,SIKKIM,East,4530034225,YOGENDRA PATEL,SANKALP MORE,Rupesh,BUNTY KUNDAPUR,30-Jul-20,681000168,,NA,NA,16-Jun-20,04-Jun-20
6803003363,08-Jul-20,In Warranty,BIS-B,BISH0720017,Glenmark,Goa,West,4500479463,YOGENDRA PATEL,SANKALP MORE,NP,BUNTY KUNDAPUR,10-Jul-20,DO2090000072,,NA,NA,16-Jun-20,28-May-20
6803003364,08-Jul-20,In Warranty,BIS-B_C++,BISH0720016,Pure & Cure,Assam,East,4500616696,YOGENDRA PATEL,SANKALP MORE,Nikhil,BUNTY KUNDAPUR,22-Jun-20,DO2090000082,,NA,NA,17-Jun-20,01-Jun-20
6803003365,07-Aug-20,In Warranty,360 Labview,360H0820004,Piramal,PITHAMPUR,AMD,4300032355,YOGENDRA,DEEP SRIVASTAVA,Rupesh,BUNTY KUNDAPUR,20-Aug-20,DO2090000108,,NA,NA,17-Jun-20,16-Jun-20
6803003366,03-Jul-20,In Warranty,PALLET,VFTH0720004,CADILA PHARMA,Ahmedabad,AMD,4490115744,YOGENDER,BISWAJIT,RUPESH,BUNTY KUNDAPUR,27-Jul-20,DO2090000086,,NA,NA,17-Jun-20,14-Mar-20
6803003366,03-Jul-20,In Warranty,AFC,PCCH0720005,CADILA PHARMA,Ahmedabad,AMD,4490115744,YOGENDER,BISWAJIT,Rupesh,BUNTY KUNDAPUR,27-Jun-20,DO2090000086,,NA,NA,17-Jun-20,14-Mar-20
6803003366,03-Jul-20,In Warranty,TE_V5,CS170720001,CADILA PHARMA,Ahmedabad,AMD,4490115744,YOGENDER,BISWAJIT,Rupesh,BUNTY KUNDAPUR,27-Jun-20,DO2090000086,,NA,NA,27-Jun-20,14-Mar-20
6803003367,30-Jul-20,In Warranty,BIS-B,BISH0720021,Tristar,Pondicherry,South,TSF/2021/POS/PLG/00006,YOGENDRA PATEL,SANKALP MORE,Rupesh,BUNTY K,31-Jul-20,DO2090000093,,NA,NA,17-Jun-20,06-Jun-20
6803003380,24-Jul-20,In Warranty,2BPO,CISH0720014,CAMUS PHARMA,RUSSIA,EU/RU,5110062906,YOGENDRA PATEL,SANKALP MORE,RUPESH,BUNTY KUNDAPUR,27-Jul-20,DO2090000088,,NA,NA,30-Jun-20,04-Jun-20
6803003381,22-Jul-20,In Warranty,2BPO,CISH0720013,Sun Pharma,"Dewas, Indore",AMD,5110065882,YOGENDRA PATEL,SANKALP MORE,Rupesh,BUNTY KUNDAPUR,23-Jul-20,DO2090000083,,NA,NA,01-Jul-20,27-Jun-20
6803003383,21-Aug-20,In Warranty,BIS-B (BS-11),BISH0820030,Sun Pharma,SIKKIM,East,4400023061,YOGENDRA PATEL,SANKALP MORE,Rupesh,BUNTY KUNDAPUR,26-Aug-20,DO2090000112,,NA,NA,02-Jul-20,06-Jun-20
6803003388,06-Aug-20,In Warranty,BIS-B,BISH0820022,PIL Pharma,Uttarakhand,North,3600000689,YOGENDRA PATEL,SANKALP MORE,Rupesh,BUNTY K,08-Aug-20,DO2090000100,,NA,NA,07-Jul-20,07-Mar-20
6803003391,10-Jul-20,In Warranty,CPIR_XL,VFSH0720006,AJANTA,GUWAHATI,East,4500012530,Yogendra Patel,Sudhir Sane,NIKHIL,BUNTY KUNDAPUR,28-Jul-20,DO2090000089,,NA,NA,07-Jul-20,01-Jul-20
6803003391,10-Jul-20,In Warranty,AFC,PCCH0720007,AJANTA,GUWAHATI,East,4500012530,Yogendra Patel,Sudhir Sane,NIKHIL,BUNTY KUNDAPUR,28-Jul-20,DO2090000089,,NA,NA,07-Jul-20,15-Jul-20
6803003392,22-Jul-20,In Warranty,CPIR_XL,VFSH0720008,Bliss Gvs,PALGHAR,West,5110067122,YOGENDRA,BISWAJIT,Bharat,BUNTY K,24-Aug-20,DO2090000109,,NA,NA,10-Jul-20,03-Jul-20
6803003399,09-Sep-20,In Warranty,kiosk(Pallet),VFTH0920022,AMNEAL PHARMA,USA,USA,ACGINA PO 6931000067,YOGENDRA,DEEP SRIVASTAVA,RUPESH,BUNTY KUNDAPUR,18-Sep-20,681000182,,NA,NA,15-Jul-20,15-Jul-20
6803003399,09-Sep-20,In Warranty,LIS,VFPH0920005,AMNEAL PHARMA,USA,USA,ACGINA PO 6931000067,YOGENDRA,DEEP SRIVASTAVA,Rupesh,BUNTY KUNDAPUR,18-Sep-20,681000182,,NA,NA,15-Jul-20,15-Jul-20
6803003399,09-Sep-20,In Warranty,Ensura,CPIREN0920001,AMNEAL PHARMA,USA,USA,ACGINA PO 6931000067,YOGENDRA,DEEP SRIVASTAVA,nikhil,BUNTY KUNDAPUR,18-Sep-20,681000182,,NA,NA,15-Jul-20,15-Jul-20
6803003399,09-Sep-20,In Warranty,360 Labview,360H0920006,AMNEAL PHARMA,USA,USA,ACGINA PO 6931000067,YOGENDRA,DEEP SRIVASTAVA,Rupesh,BUNTY KUNDAPUR,18-Sep-20,681000182,,NA,NA,15-Jul-20,15-Jul-20
6803003404,26-Aug-20,In Warranty,"BIS-OEM, BS-30",BISH0820031,ACG China,China,ROW,20200716wwww,YOGENDRA PATEL,SANKALP MORE,Rupesh,Jairaj,28-Aug-20,681000170,,NA,NA,21-Jul-20,16-Jul-20
6803003405,18-Aug-20,In Warranty,BIS-BL,BISH0820029,Medopharm,Chennai,South,MPL/1920/POS/MCG/00017,YOGENDRA PATEL,SANKALP MORE,Rupesh,BUNTY KUNDAPUR,29-Aug-20,DO2090000126,,NA,NA,21-Jul-20,21-Aug-20
6803003405,18-Aug-20,In Warranty,BIS-BL,BISH0820028,Medopharm,Chennai,South,MPL/1920/POS/MCG/00017,YOGENDRA PATEL,SANKALP MORE,Rupesh,BUNTY KUNDAPUR,29-Aug-20,DO2090000126,,NA,NA,21-Jul-20,21-May-20
6803003406,13-Aug-20,In Warranty,KIOSK PALLET,VFTH0820017,AJANTA,WALUJ,West,4500012595,YOGENDRA P,CHETAN JADHAV,Nikhil,Jairaj,28-Aug-20,DO2090000123,,NA,NA,28-Jul-20,09-Jul-20
6803003406,13-Aug-20,In Warranty,KIOSK PALLET,VFTH0820016,AJANTA,WALUJ,West,4500012595,YOGENDRA P,CHETAN JADHAV,Nikhil,Jairaj,28-Aug-20,DO2090000123,,NA,NA,28-Jul-20,09-Jul-20
6803003406,13-Aug-20,In Warranty,KIOSK PALLET,VFTH0820015,AJANTA,WALUJ,West,4500012595,YOGENDRA P,CHETAN JADHAV,Nikhil,Jairaj,28-Aug-20,DO2090000123,,NA,NA,28-Jul-20,09-Jul-20
6803003408,30-Jul-20,In Warranty,CPIR XL,VFSH0720009,Aizant Drug,Hyderabad,South,AIZ/20-21/00029,YOGENDRA P,CHETAN JADHAV,Rupesh,BUNTY K,31-Jul-20,DO2090000094,,NA,NA,22-Jul-20,15-Jul-20
6803003409,07-Aug-20,In Warranty,PALLET,VFTH0820010,ABHILASH LIFE,MADURAI,South,ALS/PE/2007402,YOGEDRA,BISWAJIT,Nikhil,BUNTY KUNDAPUR,27-Aug-20,DO2090000114,,NA,NA,22-Jul-20,11-Jul-20
6803003409,07-Aug-20,In Warranty,SBC,VFTH0820009,ABHILASH LIFE,MADURAI,South,ALS/PE/2007402,YOGENDRA,BISWAJIT,Nikhil,BUNTY KUNDAPUR,27-Aug-20,DO2090000114,,NA,NA,22-Jul-20,11-Jul-20
6803003409,07-Aug-20,In Warranty,TE-V5,CS170820002,ABHILASH LIFE,MADURAI,South,ALS/PE/2007402,YOGEDRA,BISWAJIT,NIKHIL,BUNTY KUNDAPUR,27-Aug-20,DO2090000114,,NA,NA,22-Jul-20,11-Jul-20
6803003410,12-Sep-20,In Warranty,LIS,VFPH0920006,SIGMA PHARM,USA,USA,200333,YOGENDRA P,CHETAN JADHAV,Bharat,BUNTY KUNDAPUR,21-Sep-20,681000183,,NA,NA,09-Sep-20,19-Mar-20
6803003410,12-Sep-20,In Warranty,Online Collation,PCCH0920014,SIGMA PHARM,USA,USA,200333,YOGENDRA P,CHETAN JADHAV,BHARAT,BUNTY KUNDAPUR,21-Sep-20,681000183,,NA,NA,09-Sep-20,19-Mar-20
6803003410,12-Sep-20,In Warranty,360 degree(NAVSTAR),360H0920007,SIGMA PHARM,USA,USA,200333,YOGENDRA P,CHETAN JADHAV,nikhil,BUNTY KUNDAPUR,16-Sep-20,CO2094000013,,NA,NA,09-Sep-20,19-Mar-20
6803003414,19-Aug-20,In Warranty,CPIR VS,CPIRVS0820001,INTERPHARM,RUSSIA,EU/RU,Interpharm/Russia/029-R3/19-20,YOGENDRA P,CHETAN JADHAV,Nikhil,BUNTY KUNDAPUR,27-Aug-20,681000169,,NA,NA,29-Jul-20,17-Jul-20
6803003414,21-Aug-20,In Warranty,KIOSK PALLET,VFTH0820018,INTERPHARM,RUSSIA,EU/RU,Interpharm/Russia/029-R3/19 -20’,YOGENDRA P,CHETAN JADHAV,Nikhil,BUNTY KUNDAPUR,27-Aug-20,681000169,,NA,NA,29-Jul-20,17-Jul-20
6803003416,08-Aug-20,In Warranty,KIOSK REWORK2,VFTH0820014,USV limited,Daman,West,8000001647,YOGENDRA P,CHETAN JADHAV,np,Bunty,04-Oct-20,DO2090000181,,na,na,28-Jul-20,16-Jul-20
6803003416,08-Aug-20,In Warranty,KIOSK REWORK1,VFTH0820013,USV limited,Daman,West,8000001647,YOGENDRA P,CHETAN JADHAV,np,Bunty,04-Oct-20,DO2090000181,,na,na,28-Jul-20,16-Jul-20
6803003416,08-Aug-20,In Warranty,KIOSK PALLET,VFTH0820012,USV limited,Daman,West,8000001647,YOGENDRA P,CHETAN JADHAV,np,Bunty,04-Oct-20,DO2090000181,,na,na,28-Jul-20,16-Jul-20
6803003416,08-Aug-20,In Warranty,KIOSK SBC,VFTH0820011,USV limited,Daman,West,8000001647,YOGENDRA P,CHETAN JADHAV,np,Bunty,04-Oct-20,DO2090000181,,na,na,28-Jul-20,16-Jul-20
6803003416,08-Aug-20,In Warranty,AFC,PCCH0820009,USV limited,Daman,West,8000001647,YOGENDRA P,CHETAN JADHAV,np,Bunty,04-Oct-20,DO2090000181,,na,na,28-Jul-20,16-Jul-20
6803003416,08-Aug-20,In Warranty,TE (V3),CS160820001,USV limited,Daman,West,8000001647,YOGENDRA P,CHETAN JADHAV,np,Bunty,04-Oct-20,DO2090000181,,na,na,28-Jul-20,16-Jul-20
6803003417,29-Aug-20,In Warranty,BIS-B (BS-15),BISH0820032,BPRL,Bangalore,South,20-21/NEL/075,YOGENDRA PATEL,SANKALP MORE,Rupesh,BUNTY KUNDAPUR,30-Aug-20,DO2090000129,,NA,NA,28-Jul-20,13-Jul-20
6803003420,21-Aug-20,In Warranty,PALLET,VFTH0820019,CADILA,AHMEDABAD,AMD,PRE CRF,YOGENDRA,BISWAJIT,Nikhil,BUNTY KUNDAPUR,30-Aug-20,DO2090000128,,NA,NA,06-Aug-20,06-Aug-20
6803003420,21-Aug-20,In Warranty,AFC,PCCH0820010,CADILA,AHMEDABAD,AMD,PRE CRF,YOGENDRA,BISWAJIT,Nikhil,BUNTY KUNDAPUR,30-Aug-20,DO2090000128,,NA,NA,06-Aug-20,06-Aug-20
6803003420,21-Aug-20,In Warranty,TE-V5,CS170820003,CADILA,AHMEDABAD,AMD,PRE CRF,YOGEDRA,BISWAJIT,NIKHIL,BUNTY KUNDAPUR,30-Aug-20,DO2090000128,,NA,NA,06-Aug-20,06-Aug-20
6803003422,09-Oct-20,In Warranty,2BPO,CISH1020025,Sentiss,Solan,North,20-21/PO/NL/0144,YOGENDRA PATEL,SANKALP MORE,nikhil,BUNTY KUNDAPUR,,,,,,08-Aug-20,23-May-20
